S.no,Status,Date,Log dir name,Dataset id,Video,Location,Terrain,Slope,Velocity,Trajectory,Experiment Description,Runtime
57,completed,19.05.2026,20260519-095843.0959,DATA_19_03,54,Crater Hall,Sand,0 deg,0.4m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds, there maybe a slight incline at the end of forward because, the rover might have climbed a small stone at that point ",60.619000000
58,completed,19.05.2026,20260519-100144.0178,DATA_20_01,55,Crater Hall,Sand,0 deg,0.6m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",71.099000000
59,completed,19.05.2026,20260519-100434.0843,DATA_20_02,56,Crater Hall,Sand,0 deg,0.6m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",50.898000000
60,completed,19.05.2026,20260519-100607.0414,DATA_20_03,57,Crater Hall,Sand,0 deg,0.6m/s,Move forward pause move back,"Move the rover in the sand forward and pause and move back, the pause is approx 5 seconds",51.630000000
61,completed,19.05.2026,20260519-121705.0059,DATA_21_01,64,Crater Hall,Sand,0 deg,0.2m/s,Rotate-in-place CW,The robot is rotated along its z axis for 2-3 rotations,178.046000000
62,completed,19.05.2026,20260519-122457.0458,DATA_21_02,65,Crater Hall,Sand,0 deg,0.2m/s,Rotate-in-place CW,The robot is rotated along its z axis for 2-3 rotations,107.460000000
63,completed,19.05.2026,20260519-122920.0650,DATA_21_03,66,Crater Hall,Sand,0 deg,0.2m/s,Rotate-in-place CW,The robot is rotated along its z axis for 2-3 rotations,142.395000000
64,completed,19.05.2026,20260519-124337.0202,DATA_22_01,70,Crater Hall,Sand,0 deg,0.2m/s,Rotate-in-place CCW,The robot is rotated along its z axis for 2-3 rotations,96.362000000
65,completed,19.05.2026,20260519-124716.0687,DATA_22_02,71,Crater Hall,Sand,0 deg,0.2m/s,Rotate-in-place CCW,The robot is rotated along its z axis for 2-3 rotations,96.204000000
66,completed,19.05.2026,20260519-125325.0857,DATA_22_03,72,Crater Hall,Sand,0 deg,0.2m/s,Rotate-in-place CCW,The robot is rotated along its z axis for 2-3 rotations,101.169000000
67,completed,19.05.2026,20260519-123243.0197,DATA_23_01,67,Crater Hall,Sand,0 deg,0.2m/s,Move forward with pull resistance,"Move the rover forward with joypad and pull the rover back so it slips in place, minimal logging and moved a small distance forward at the end, it not in one place, the rover was moving forward and back a bit, lets say 3 to 5 cm wobble",45.150000000
68,completed,19.05.2026,20260519-123521.0552,DATA_23_02,68,Crater Hall,Sand,0 deg,0.2m/s,Move forward with pull resistance,"Move the rover forward with joypad and pull the rover back so it slips in place, minimal logging ",53.578000000
69,completed,19.05.2026,20260519-123826.0004,DATA_23_03,69,Crater Hall,Sand,0 deg,0.2m/s,Move forward with pull resistance,"Move the rover forward with joypad and pull the rover back so it slips in place, minimal logging ",41.243000000
70,completed,19.05.2026,20260519-101214.0318,DATA_24_01,58,Crater Hall,Sand,0 deg,0.2m/s,2m CW circle,"Make a CW circle of approx radius of 2.5 to 3.5 meters, there was a point where the rover climbed a small obstacle on its way, at the end, there is a long pause but the logging was still happening, could be stopped because the coyote_ap disconnected with laptop, with depthmaps",274.625999999
71,completed,19.05.2026,20260519-102002.0881,DATA_24_02,59,Crater Hall,Sand,0 deg,0.2m/s,2m CW circle,"Make a CW circle of approx radius of 2.5 to 3.5 meters, the rover climbed a small obstacle on the way, with depth maps",120.712000000
72,completed,19.05.2026,20260519-114443.0504,DATA_24_03,60,Crater Hall,Sand,0 deg,0.2m/s,2m CW circle,"Make a CW circle of approx radius of 2.5 to 3.5 meters,  there is a long pause but the logging was still happening, could be stopped because the coyote_ap disconnected with laptop, with depthmaps",264.913000000
73,completed,19.05.2026,20260519-115154.0463,DATA_25_01,61,Crater Hall,Sand,0 deg,0.2m/s,2m CCW circle,Make a CCW circle of approx radius of 2.5 to 3.5 meters,134.162000000
74,completed,19.05.2026,20260519-120004.0788,DATA_25_02,62,Crater Hall,Sand,0 deg,0.2m/s,2m CCW circle,Make a CCW circle of approx radius of 2.5 to 3.5 meters,357.442000000
75,completed,19.05.2026,20260519-120952.0837,DATA_25_03,63,Crater Hall,Sand,0 deg,0.2m/s,2m CCW circle,"Make a CCW circle of approx radius of 2.5 to 3.5 meters, with minimal logging, there is a small climb on an obstacle and moved back to start the circle. ",190.351000000
76,completed,19.05.2026,20260519-132225.0522,DATA_26_01,74,Crater Hall,Crater,35-45deg,0.2m/s,up the crater and slip,Move the rover up the crater and let it slip for a one up and down with rich features,75.740000000
77,completed,19.05.2026,20260519-132400.0805,DATA_26_02,75,Crater Hall,Crater,35-45deg,0.2m/s,up the crater and slip,Move the rover up the crater and let it slip for a minute or 2 with rich features,80.483000000
78,completed,19.05.2026,20260519-132612.0676,DATA_26_03,76,Crater Hall,Crater,35-45deg,0.2m/s,up the crater and slip,"Move the rover up the crater and let it slip for a minute, with rich features",53.098000000
79,completed,19.05.2026,20260519-132749.0844,DATA_26_04,77,Crater Hall,Crater,35-45deg,0.2m/s,up the crater and slip,"Move the rover up the crater and let it slip for a minute, with rich features, included a no wheel rotation but rover moved down type of slip",66.480999999
80,completed,19.05.2026,20260519-130816.0613,DATA_27_01,73,Crater Hall,Sand,0 deg,0.2-0.6m/s,High speed traverse exploration,"Move the rover at a relatively higher speed and do a random trajectory, involving obstacles and random path, with rich logging ",180.120000000
81,completed,19.05.2026,20260519-135345.0431,DATA_28_01,78,Crater Hall,Sand,0 deg,0.2m/s,Normal Traversal,"Move the rover at normal speed 0.2m/s and do a random exploration trajectory including different types of motions, park motion of forward reverse based turning ",213.465000000
82,completed,20.05.2026,20260520-093228.0628,DATA_29_01,79,MFH,Floor,0 deg,0.2m/s,Normal Traversal,"Move the rover at normal speed 0.2m/s and do a random exploration trajectory including different types of motions, park motion of forward reverse based turning, climbed an obstacles once and a small wooden block once ",240.978
83,completed,20.05.2026,20260520-093813.0286,DATA_29_02,80,MFH,Floor,0 deg,0.2m/s,Normal Traversal,"Move the rover at normal speed 0.2m/s and do a random exploration trajectory including different types of motions, park motion of forward reverse based turning, no climbing obstacles",206.869
